epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,epoch_global
3,255.356,1.43166,2.40825,1.07293,0.73268,0.68799,0.70663,0.33976,1.8082,2.42196,1.36433,0.00133326,0.00133326,0.00133326,133
4,338.021,1.46492,2.55081,1.09574,0.7229,0.69162,0.70336,0.34175,1.82821,2.53719,1.37821,0.00128753,0.00128753,0.00128753,134
5,420.806,1.4583,2.53613,1.09142,0.76888,0.6831,0.72352,0.35363,1.76478,2.37856,1.35805,0.00124037,0.00124037,0.00124037,135
6,503.262,1.46064,2.52476,1.09134,0.74986,0.68571,0.71833,0.35264,1.77251,2.42485,1.33767,0.00119322,0.00119322,0.00119322,136
7,586.323,1.46517,2.51038,1.0967,0.77157,0.69172,0.7387,0.36343,1.7452,2.36418,1.33848,0.00114606,0.00114606,0.00114606,137
8,669.699,1.44624,2.47465,1.07992,0.74776,0.71854,0.73199,0.36229,1.76919,2.30717,1.3431,0.0010989,0.0010989,0.0010989,138
9,753.606,1.43723,2.43613,1.08212,0.78969,0.70907,0.73847,0.3657,1.75433,2.3149,1.33661,0.00105174,0.00105174,0.00105174,139
10,836.068,1.42672,2.36387,1.072,0.80063,0.68061,0.73223,0.36592,1.78136,2.35073,1.35161,0.00100459,0.00100459,0.00100459,140
11,919.42,1.43924,2.41321,1.08654,0.7817,0.69912,0.73913,0.36684,1.74103,2.30485,1.33207,0.00095743,0.00095743,0.00095743,141
12,1002.27,1.41751,2.37218,1.07357,0.79007,0.70226,0.75127,0.37693,1.76069,2.27747,1.34352,0.000910273,0.000910273,0.000910273,142
13,1085.37,1.39478,2.2877,1.05516,0.80759,0.70716,0.74748,0.37974,1.75638,2.23171,1.34632,0.000863116,0.000863116,0.000863116,143
14,1168.93,1.402,2.31633,1.06285,0.79463,0.71472,0.74481,0.37468,1.73778,2.2836,1.32526,0.000815959,0.000815959,0.000815959,144
15,1252.47,1.38745,2.27066,1.04723,0.79138,0.70671,0.74489,0.37913,1.75338,2.24281,1.32759,0.000768802,0.000768802,0.000768802,145
16,1335.85,1.38191,2.24633,1.04404,0.78507,0.74065,0.7705,0.38173,1.73621,2.13595,1.33652,0.000721645,0.000721645,0.000721645,146
17,1418.49,1.38493,2.26284,1.0517,0.79937,0.71225,0.75402,0.38725,1.7464,2.16099,1.32911,0.000674488,0.000674488,0.000674488,147
18,1501.51,1.36794,2.19261,1.04204,0.79286,0.73646,0.76352,0.39399,1.71796,2.09396,1.30951,0.000627331,0.000627331,0.000627331,148
19,1584.95,1.36351,2.16831,1.03879,0.80834,0.73991,0.76784,0.39578,1.72781,2.11006,1.31878,0.000580174,0.000580174,0.000580174,149
20,1667.72,1.34064,2.13893,1.03154,0.82217,0.7284,0.77004,0.39332,1.72658,2.10375,1.31435,0.000533017,0.000533017,0.000533017,150
